ID,test,problem,obstacle_H,vitesse,pneumatique,mtixsens_1_ES_horiz,mtixsens_1_ES_vert,mtixsens_1_ES_norm,mtixsens_1_ES_angl,mtixsens_1_VDV_horiz,mtixsens_1_VDV_vert,mtixsens_1_VDV_norm,mtixsens_1_VDV_angl,mtixsens_2_ES_horiz,mtixsens_2_ES_vert,mtixsens_2_ES_norm,mtixsens_2_ES_angl,mtixsens_2_VDV_horiz,mtixsens_2_VDV_vert,mtixsens_2_VDV_norm,mtixsens_2_VDV_angl,mtixsens_3_ES_horiz,mtixsens_3_ES_vert,mtixsens_3_ES_norm,mtixsens_3_ES_angl,mtixsens_3_VDV_horiz,mtixsens_3_VDV_vert,mtixsens_3_VDV_norm,mtixsens_3_VDV_angl,mtixsens_4_ES_horiz,mtixsens_4_ES_vert,mtixsens_4_ES_norm,mtixsens_4_ES_angl,mtixsens_4_VDV_horiz,mtixsens_4_VDV_vert,mtixsens_4_VDV_norm,mtixsens_4_VDV_angl,mtixsens_5_ES_horiz,mtixsens_5_ES_vert,mtixsens_5_ES_norm,mtixsens_5_ES_angl,mtixsens_5_VDV_horiz,mtixsens_5_VDV_vert,mtixsens_5_VDV_norm,mtixsens_5_VDV_angl,xsensor_seat_ES_vert,xsensor_seat_VDV_vert,xsensor_seat_std_fwd,xsensor_seat_std_lat,xsensor_seat_range_fwd,xsensor_seat_range_lat
218,8,,4,1,2,3.7018589527489922,3.064203268167856,4.805528209749521,50.38383860084014,2.7191949328812357,2.018688789844927,3.386609737370482,53.410371298181815,16.55001783538401,11.588698920488646,20.203985572685,54.99941535859235,5.363142193552354,3.8694605881565214,6.613321361582104,54.18987826147096,17.222458218934552,14.153454366476272,22.292001650970523,50.58655860934392,5.03207960905338,4.107351754465893,6.49554952461798,50.77752608514231,48.66295568666151,48.37753369449715,68.61828489931958,45.168521701379625,9.40499037221909,5.7331263630763285,11.014653049303668,58.63420685860353,18.50208600170927,7.2799884358371845,19.882792008180573,68.5219240311942,5.447996293133237,3.0533193298929993,6.245272014915901,60.731631183595496,38857.31274173914,227.74261474946135,0.7492075890685397,0.4692398300438139,5.4300000000000015,3.389999999999997
219,9,,4,1,2,3.871243019714961,3.2373634826549034,5.046488366826906,50.0956284242211,2.705638122894272,2.0327060206600223,3.384135254165581,53.08300210940266,15.413540370801728,12.91120521048219,20.10662693615011,50.04865905462031,5.257731969767712,4.039845916261622,6.630543001372751,52.462662931990586,18.574381127200496,17.606039749418805,25.592582322161572,46.53311185298895,5.0578960337807874,4.4779850816116795,6.755343268825958,48.480074882657725,47.77479939212055,52.442136462828955,70.9408847826367,42.33352828571551,9.247463468041573,6.070439403630478,11.061908295855334,56.717354167994266,17.744534859490845,8.089988569871986,19.501703321513872,65.49107562462704,5.372648893030684,3.1843915531564693,6.245454802622312,59.344599682452994,45411.27285371378,251.82615794316163,0.7504961994937386,0.26724736837417246,5.520000000000001,3.1400000000000006
220,0,,4,2,2,6.168852739152337,9.062977465828215,10.963225103201033,34.24175340635436,3.2956597653227737,3.9300963203303847,5.129037958120586,39.98217834086437,13.54251261618712,27.32756530418994,30.49910610844772,26.361283667929314,4.651161003745836,6.343798753174486,7.866198656501381,36.24821026243243,22.233180413238003,22.288326919993438,31.4814838941892,44.92903069403235,5.976682281725617,5.429295366951157,8.074526566820511,47.74758694144106,39.326526340380504,58.41412628367091,70.41864684503172,33.94988194681194,8.458531669026213,7.210390016278692,11.114696675248084,49.554401819932224,31.02781596498207,9.6725777240625,32.500524970911265,72.68571123517599,6.685982538763162,3.5821071855102766,7.585107408410922,61.819207104236945,112982.53537681165,425.2418578329351,0.9641468607355562,0.6013566384965949,7.909999999999998,4.100000000000001
221,1,,4,2,2,4.435475692174956,8.556819989463134,9.638081393511406,27.400219017636573,2.737175921769138,3.6932074428016493,4.596946077808421,36.54354506126961,7.950325187123079,27.631137138302226,28.752172268137727,16.052149163870528,3.469869570498137,6.386095915706245,7.26788936905818,28.51733678786801,15.559281127912039,30.836326656481504,34.53940171575981,26.774431361624305,4.895097544315085,6.284989226696146,7.966371165596428,37.913432891140765,22.42114013423111,65.59055115032565,69.31686609420765,18.87221906974291,6.6513843893539635,7.558396415074657,10.068280422314182,41.34775818358635,32.50211605469447,24.10939641692589,40.4678952210429,53.43274159327125,6.415286642245678,5.886793994416119,8.706907960629279,47.459892105920325,139435.81204717388,448.205282176782,0.9424747022476517,0.3945278773284656,8.03,4.009999999999998
222,2,,4,2,2,5.6085002009334755,8.53037259523434,10.208943682741907,33.32388910721724,2.8576530908694395,3.6637782059071107,4.646445085206064,37.95331778127577,9.89423116189376,30.75365316399201,32.306082913533565,17.83430169639826,3.7613949345371025,6.471189403323935,7.484943830601093,30.16740212034098,16.028730098263924,31.48120806148145,35.32685451003636,26.98302497746321,4.960627798684002,6.421308097574657,8.11424832261463,37.68702105706455,29.81850659851471,68.66467354459161,74.85974037325406,23.473508251646187,7.261568696887243,7.7875880054720525,10.647859262902797,42.99813225265862,33.47526307546303,26.89667823599231,42.94210681955371,51.218846304380094,6.440153596304264,6.176678345395949,8.92339250097596,46.1963245690026,137259.845264203,446.2860169259678,0.7701482412180491,0.4683820932460483,7.0,4.68
223,3,,4,2,2,4.960077969722682,8.657931083233283,9.978083188054974,29.808142406622967,2.758959443770497,3.6831328609406593,4.60188275423346,36.836129853974285,8.539740025251454,29.814857402741684,31.013753104787273,15.98307110143601,3.7444761123956267,6.448416483707171,7.456753751039914,30.142942320480177,16.122807743466772,33.8203749702361,37.46682122438685,25.48801425463347,4.963285678306007,6.519230251265228,8.193568684858215,37.283107023045325,26.872692076446413,65.83425052351184,71.10759538493778,22.204649334525897,7.112834535997573,7.713211425527608,10.49218974434648,42.6810892363382,33.732144277715214,29.1500033593238,44.582286318909034,49.167703276486016,6.425720858768147,6.355653722273103,9.037932440124345,45.31409070784091,154310.04894014486,469.41684249029777,0.7713479362983712,0.36702947222827065,7.019999999999998,5.129999999999999
224,4,,4,2,2,5.681443979095817,8.576334835633785,10.28748389551642,33.52271889922901,2.8968473563612647,3.7018646600122462,4.700587895902473,38.044507288641334,10.37045748021184,29.883651745649253,31.631930545006693,19.138195056823708,3.859630744414443,6.412468696311176,7.484417429860519,31.043510936119482,17.745996256979165,31.857026257151297,36.466292724947316,29.120047887433707,5.176691858505893,6.483234476755656,8.296412952506305,38.60644307933564,29.591191410341473,66.27429516931285,72.58044371091066,24.060558990512103,7.289546827191527,7.7257811481285845,10.62192013218877,43.33587672087295,35.49441184511553,26.614263618618597,44.364087956273856,53.13686487025284,6.614232416599329,6.097624302356818,8.996059837144585,47.32721198128611,158662.60706492758,448.93881457841945,0.9042378651794847,0.5507825964311768,7.759999999999998,3.870000000000001
225,5,,4,2,2,5.57294611066921,8.912534131946877,10.511469593046499,32.01745783185191,2.863669854365872,3.7486392414280996,4.717298082290168,37.37702354333283,9.937361042969258,31.179685054340613,32.72497371406423,17.677739989389597,3.6983719486200024,6.4941234314608,7.473392416659753,29.661304021748332,16.204709836238532,34.56199025404571,38.172290882228125,25.119967979809502,4.951954175888387,6.676686543452321,8.312640576833317,36.563529475720784,27.98081408056707,72.20867947123139,77.44042450548869,21.181315547913638,6.977469576092721,7.973475827086595,10.59534796268786,41.18868532089161,33.76269783268574,26.22026631118507,42.74835821842412,52.16692237745763,6.514518684479994,6.259308999998163,9.034262717449442,46.14456630004276,135077.21135690215,442.58634318838995,0.781485182782816,0.37417859030332323,7.67,4.780000000000001
226,6,,4,2,2,5.373886203912101,8.229754015747844,9.828911643326263,33.143837862329946,2.890892116403831,3.6909285981636084,4.68830578625454,38.06955618846746,8.497568347000678,25.86779147690598,27.22776714504216,18.185349537618077,3.4651995581800654,6.305081052387964,7.1945573216976335,28.792685741887734,17.300931837044722,27.75189302917801,32.703055042809176,31.9400107291459,5.177396733319352,6.069345122001331,7.977617886571608,40.46551902873713,22.52895176655995,62.460998971057,66.39977454903268,19.833780960955558,6.5973941807662575,7.361138335438181,9.884936396854867,41.86817173041367,28.938668083706197,20.267526486892663,35.33014492407031,54.99408452738353,6.057962314191467,5.31882640041581,8.061564468384796,48.71721187190146,105045.90060144929,398.8254677247356,0.8807499492230219,0.3462677896473545,7.710000000000001,3.4499999999999993
227,7,,4,2,2,5.206076547940361,8.20970559937465,9.72123958409719,32.38028836017322,2.919263215202177,3.6491590635487277,4.673163766733666,38.65919518214832,9.276511428856676,24.96313122798025,26.63102673565312,20.38549336220056,3.600196105713401,6.209806136975467,7.177959616660719,30.103434907020457,17.53264396409151,28.194489227519167,33.20124737374017,31.875269514181202,5.31692644342275,6.073971376811254,8.072350035218399,41.19768469337727,26.19758984267101,66.32962075739103,71.3157226941166,21.55206938634322,6.9544830892193055,7.424771263348342,10.17310490220565,43.12675085209405,31.717096851642452,20.141756111164376,37.57212493242956,57.58265089591588,6.292144271728035,5.3529591371522836,8.261068397021178,49.6109616457892,99868.95682110508,392.7507499877072,0.8684097083964377,0.4962272720772915,7.67,4.420000000000002
